status_slucaja,confidence,izvor_snimka,model,napomena,povrsina_px,odnos_stranica,popunjenost,procenjena_povrsina_m2,parcela_id,broj_parcele,katastarska_opstina,inspektor_id,ima_dozvolu,preklapa_objekat_id
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,263.5,1.05,0.52,62.67,382,ADICA-TEST-87,Adica,1,True,242
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,279.0,2.29,0.62,65.07,352,ADICA-TEST-57,Adica,1,True,238
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,409.5,1.48,0.52,97.72,334,ADICA-TEST-39,Adica,1,True,194
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,173.0,1.31,0.51,42.14,,,,1,False,
Podudara se sa legalnim objektom,0.905,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,319.5,1.04,0.46,78.15,352,ADICA-TEST-57,Adica,1,True,212
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,128.5,1.38,0.55,30.97,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,266.5,1.0,0.5,64.11,379,ADICA-TEST-84,Adica,1,True,239
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,225.0,1.29,0.6,53.9,402,ADICA-TEST-107,Adica,1,True,262
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,164.0,1.92,0.59,39.62,,,,1,False,
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,159.0,2.0,0.55,38.66,,,,1,False,
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,231.0,1.18,0.68,55.94,392,ADICA-TEST-97,Adica,1,True,252
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,222.5,1.35,0.57,54.74,400,ADICA-TEST-105,Adica,1,True,260
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,305.0,1.21,0.7,74.07,358,ADICA-TEST-63,Adica,1,True,218
Podudara se sa legalnim objektom,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,389.0,1.14,0.71,92.08,339,ADICA-TEST-44,Adica,1,True,199
Podudara se sa legalnim objektom,0.931,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,572.0,1.63,0.48,142.14,307,ADICA-TEST-12,Adica,1,True,167
Kandidat - bespravni objekat,0.95,GeoSrbija ortofoto snimak,KMeans segmentacija slike,Automatski detektovan kandidat za objekat/krov sa ortofoto snimka,147.0,1.91,0.64,35.29,303,ADICA-TEST-8,Adica,1,False,
